Country name,Ladder score
Afghanistan,2.523
Albania,5.117
Algeria,4.887
Argentina,5.929
Armenia,5.283
Australia,7.183
Austria,7.268
Azerbaijan,5.171
Bahrain,6.647
Bangladesh,5.025
Belarus,5.534
Belgium,6.834
Benin,5.045
Bolivia,5.716
Bosnia and Herzegovina,5.813
Botswana,3.467
Brazil,6.330
Bulgaria,5.266
Burkina Faso,4.834
Burundi,3.775
Cambodia,4.830
Cameroon,5.142
Canada,7.103
Chad,4.355
Chile,6.172
China,5.339
Colombia,6.012
Comoros,4.289
Congo (Brazzaville),5.342
Costa Rica,7.069
Croatia,5.882
Cyprus,6.223
Czech Republic,6.965
Denmark,7.620
Dominican Republic,5.545
Ecuador,5.764
Egypt,4.283
El Salvador,6.061
Estonia,6.189
Ethiopia,4.275
Finland,7.842
France,6.690
Gabon,4.852
Gambia,5.051
Georgia,4.891
Germany,7.155
Ghana,5.088
Greece,5.723
Guatemala,6.435
Guinea,4.984
Haiti,3.615
Honduras,5.919
Hong Kong S.A.R. of China,5.477
Hungary,5.992
Iceland,7.554
India,3.819
Indonesia,5.345
Iran,4.721
Iraq,4.854
Ireland,7.085
Israel,7.157
Italy,6.483
Ivory Coast,5.306
Jamaica,6.309
Japan,5.940
Jordan,4.395
Kazakhstan,6.152
Kenya,4.607
Kosovo,6.372
Kuwait,6.106
Kyrgyzstan,5.744
Laos,5.030
Latvia,6.032
Lebanon,4.584
Lesotho,3.512
Liberia,4.625
Libya,5.410
Lithuania,6.255
Luxembourg,7.324
Madagascar,4.208
Malawi,3.600
Malaysia,5.384
Maldives,5.198
Mali,4.723
Malta,6.602
Mauritania,4.227
Mauritius,6.049
Mexico,6.317
Moldova,5.766
Mongolia,5.677
Montenegro,5.581
Morocco,4.918
Mozambique,4.794
Myanmar,4.426
Namibia,4.574
Nepal,5.269
Netherlands,7.464
New Zealand,7.277
Nicaragua,5.972
Niger,5.074
Nigeria,4.759
North Cyprus,5.536
North Macedonia,5.101
Norway,7.392
Pakistan,4.934
Palestinian Territories,4.517
Panama,6.180
Paraguay,5.653
Peru,5.840
Philippines,5.880
Poland,6.166
Portugal,5.929
Romania,6.140
Russia,5.477
Rwanda,3.415
Saudi Arabia,6.494
Senegal,5.132
Serbia,6.078
Sierra Leone,3.849
Singapore,6.377
Slovakia,6.331
Slovenia,6.461
South Africa,4.956
South Korea,5.845
Spain,6.491
Sri Lanka,4.325
Swaziland,4.308
Sweden,7.363
Switzerland,7.571
Taiwan Province of China,6.584
Tajikistan,5.466
Tanzania,3.623
Thailand,5.985
Togo,4.107
Tunisia,4.596
Turkey,4.948
Turkmenistan,5.066
Uganda,4.636
Ukraine,4.875
United Arab Emirates,6.561
United Kingdom,7.064
United States,6.951
Uruguay,6.431
Uzbekistan,6.179
Venezuela,4.892
Vietnam,5.411
Yemen,3.658
Zambia,4.073
Zimbabwe,3.145